일반차량 전일 월정기요금,주간 월정기요금,야간 월정기요금,주차요금 지불방식,총주차대수,주차상한제,자율요일제,수정일자,특기사항,야간개방사업여부,지원주차장설치여부,주차장사진매수,도면매수,일반인 개방여부,GIS링크,과거 GIS링크,JM_ISCHK,기타사항,메모,JM_SJ_CONT,JM_KJ_CONT,JM_N_STTIME,JM_N_EDTIME,JM_OPN_STTIME,JM_OPN_EDTIME,JM_OPH_STTIME,JM_OPH_EDTIME,JM_OPE_STTIME,JM_OPE_EDTIME,JM_IN_CHARGE,대시민표출주차면수,공유주차장 코드,위도,경도
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-39-1-635|사당동 1033번지 13호,0,0,0,0,0,1.15901E+18,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.47938,126.979342
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-40-1-638|사당동 1034번지 2호,0,0,0,0,0,1.15901E+18,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.479533,126.97829
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-39-1-640|사당동 1034번지 4호,0,0,0,0,0,xit20161159001451,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.479533,126.978528
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-39-1-642|사당동 1034번지 40호,0,0,0,0,0,1.15901E+18,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.479515,126.979048
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-39-1-643|사당동 1034번지 47호,0,0,0,0,0,xit20161159001612,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.479515,126.978878
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10300-7-1-1702|상도1동 449번지 3호,0,0,0,0,0,1.15901E+18,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.50253,126.950425
-,-,-,-,12,N,1,2019-12-31 0:00,11380-10600-31-3-00012|대조동 1산 14번지 72호,0,0,2,1,0,1.13801E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,37.609174,126.9280408
-,-,-,-,3,N,1,2019-12-31 0:00,11620-10100-05-3-074|봉천동1688번지138호,0,0,1,1,-,1.16201E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,37.47732727,126.9659837
-,-,-,-,4,N,1,2019-12-31 0:00,11380-10100-65-3-00015|수색동 1산 373번지 2호,0,0,1,1,0,1.13801E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,37.58262581,126.8933709
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-38-1-627|사당동 1020번지 45호,0,0,0,0,0,xit20161159001469,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.481156,126.980698
-,-,-,-,1,N,0,2020-09-07 0:00,11590-10700-39-1-640|사당동 1034번지 4호,0,0,0,0,0,1.15901E+18,1.15901E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.479524,126.978595
-,-,-,-,6,N,0,2019-12-31 0:00,11260-10200-032-3-1426830|상봉동 1산 268번지 46호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.5999425,127.0880881
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10200-032-3-850472|상봉동 1산 265번지 22호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60028836,127.0881755
-,-,-,-,3,N,0,2019-12-31 0:00,11260-10100-082-3-940328|면목동 1산 1112번지 0호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58665652,127.0913492
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10100-069-3-1041140|면목동 1산 128번지 34호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.58904947,127.0855383
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10300-019-3-850592|중화동 1산 308번지 76호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60408675,127.076554
-,-,-,-,2,N,0,2019-12-31 0:00,11260-10300-030-3-1428009|중화동 1산 148번지 37호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60014384,127.084053
-,-,-,-,7,N,0,2019-12-31 0:00,11260-10100-083-3-1071482|면목동 1산 109번지 106호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.586235,127.091378
-,-,-,-,10,N,0,2019-12-31 0:00,11260-10300-020-3-1580833|중화동 1산 273번지 5호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60595595,127.0817639
-,-,-,-,8,N,0,2019-12-31 0:00,11260-10100-100-3-692838|면목동 1산 619번지 23호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.57925946,127.0893658
-,-,-,-,7,N,0,2019-12-31 0:00,11260-10100-094-3-897309|면목동 1산 446번지 18호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.5827332,127.0929747
-,-,-,-,4,N,0,2019-12-31 0:00,11260-10300-023-3-851126|중화동 1산 305번지 57호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.60310305,127.0783196
-,-,-,-,1,N,0,2019-12-31 0:00,11260-10500-075-3-1032821|망우동 1산 518번지 38호,0,0,0,0,1,1.12601E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.59434358,127.0959318
